num_entities,unstructured_bytes,"cedar mean_dur_micros","cedar median_dur_micros","cedar p90_dur_micros","cedar p99_dur_micros","cedar % allows","cedar % denies","cedar mean_num_errors","cedar mean_context_attrs","cedaropt mean_dur_micros","cedaropt median_dur_micros","cedaropt p90_dur_micros","cedaropt p99_dur_micros","cedaropt % allows","cedaropt % denies","cedaropt mean_num_errors","cedaropt mean_context_attrs","rego mean_dur_micros","rego median_dur_micros","rego p90_dur_micros","rego p99_dur_micros","rego % allows","rego % denies","rego mean_num_errors","rego mean_context_attrs","openfga mean_dur_micros","openfga median_dur_micros","openfga p90_dur_micros","openfga p99_dur_micros","openfga % allows","openfga % denies","openfga mean_num_errors","openfga mean_context_attrs","sapl mean_dur_micros","sapl median_dur_micros","sapl p90_dur_micros","sapl p99_dur_micros","sapl % allows","sapl % denies","sapl mean_num_errors","sapl mean_context_attrs",mean_parents_of_Action,mean_parents_of_Document,mean_parents_of_Folder,mean_parents_of_Group,mean_parents_of_User,mean_parents_of_View,openfga mean_tuples
5,8192,5.256693810000021,5.069648838850221,6.059470064424215,8.710047498384982,0.14630000000000093,0.8537000000000041,0,0,8.173453050000026,7.947519272129001,9.290168205280118,12.595199182835948,0.14630000000000093,0.8537000000000041,0,0,33.55952472999978,27.016569706918045,39.82206183103202,197.594750608958,0.14630000000000093,0.8537000000000041,0,0,56.08611000000033,44.993491800360474,99.67121111327283,178.16826146756446,0.14630000000000093,0.8537000000000041,0,0,0.26952917999999876,0.23018979758209182,0.5394034320393933,1.0307500919884671,0.14630000000000093,0.8537000000000041,0,0,0,0.8360000000000002,0.6599999999999998,0,0.24299999999999994,0.12149999999999989,12.620000000000005
10,8192,5.315411490000041,5.116986727982026,8.23828557046829,8.86346610204223,0.15835999999999886,0.8416399999999997,0,0,8.951080250000004,8.607695930889232,15.365526435160618,15.484351583030152,0.15835999999999886,0.8416399999999997,0,0,48.13704730000058,40.332989246120995,56.83744923446797,224.3405860681662,0.15835999999999886,0.8416399999999997,0,0,63.52544999999978,46.04346833329562,113.1300314019195,211.00575714592807,0.15835999999999886,0.8416399999999997,0,0,0.2883165899999999,0.23850371829439135,1.377042364533859,1.0703343883175698,0.15835999999999886,0.8416399999999997,0,0,0,2.219999999999995,1.487000000000002,0,0.5164999999999994,0.2582499999999995,47.21499999999996
15,8192,5.402547919999997,5.213049667823588,6.861698500792008,9.216178373837726,0.1654700000000007,0.8345299999999993,0,0,10.009469020000024,9.427516174174562,13.40829838475935,18.51173428614257,0.1654700000000007,0.8345299999999993,0,0,68.06115197000051,59.10116080456746,79.82514737652369,252.95348151115513,0.1654700000000007,0.8345299999999993,0,0,72.02110000000017,49.06170623180579,131.4182967464636,251.8009042158875,0.1654700000000007,0.8345299999999993,0,0,0.3174597299999985,0.2704967597783626,0.5797786835408143,1.106164844183322,0.1654700000000007,0.8345299999999993,0,0,0,3.950666666666674,2.5023333333333357,0,0.7903333333333348,0.39516666666666456,102.22500000000004
20,8192,5.46764858000003,5.287038572344402,6.44406271095737,9.065915466598263,0.17714000000000094,0.822859999999999,0,0,11.587644750000043,10.68681547552587,17.282777020429233,25.68108504083979,0.17714000000000094,0.822859999999999,0,0,93.62448310999984,81.95532624425888,112.0235168560055,313.4701714469878,0.17714000000000094,0.822859999999999,0,0,83.77611000000056,55.36433271492616,157.90242439286436,331.2023385206151,0.17714000000000094,0.822859999999999,0,0,0.40396725000000183,0.3025898345418089,0.7304605359514966,1.6708024114963556,0.17714000000000094,0.822859999999999,0,0,0,6.400750000000002,3.758750000000002,0,1.0192500000000004,0.5096250000000001,179.5149999999999
30,8192,5.664649889999948,5.469317419588453,7.109851944541181,9.967968530373453,0.20715000000000017,0.7928500000000036,0,0,16.3997790000003,14.452392504984763,26.416589660147476,42.53960393027586,0.20715000000000017,0.7928500000000036,0,0,154.8457828300038,138.09357657827792,182.8229094135899,442.4313042736887,0.20715000000000017,0.7928500000000036,0,0,115.35873999999951,86.17910969199058,235.15851329932067,560.4711273057371,0.20715000000000017,0.7928500000000036,0,0,0.38942104000000166,0.3297693696569266,0.7777085400676649,1.8256319403183203,0.20715000000000017,0.7928500000000036,0,0,0,13.74583333333334,7.399000000000008,0,1.5145000000000015,0.7572499999999999,397.73
40,8192,5.841561529999931,5.64723936246494,8.72041481034626,10.501257879566868,0.24866999999999884,0.7513299999999958,0,0,25.16096143000017,21.472504884826193,44.91232065478521,73.4767844827776,0.24866999999999884,0.7513299999999958,0,0,232.3027400200012,207.87748178856612,267.52489397389013,621.258051494948,0.24866999999999884,0.7513299999999958,0,0,173.77669000000077,108.87221784510805,394.45279580844755,1046.0314440632233,0.24866999999999884,0.7513299999999958,0,0,0.39244846000000483,0.3431998047726011,0.8022952133791548,1.0929326709274187,0.24866999999999884,0.7513299999999958,0,0,0,25.633375000000033,12.376124999999986,0,2.0186249999999917,1.0093124999999996,701.11
50,8192,5.999750100000018,5.839264376156746,9.486219436227813,10.834165959684526,0.2934599999999961,0.7065399999999881,0,0,38.47953816999999,33.175639449239405,73.44561883600578,121.95043826745444,0.2934599999999961,0.7065399999999881,0,0,326.770095929991,294.89828716670206,373.72127072289294,828.7109212688582,0.2934599999999961,0.7065399999999881,0,0,264.8190300000029,138.86031544131743,645.3554765164462,1754.5650232468308,0.2934599999999961,0.7065399999999881,0,0,0.4383127100000003,0.35676931161429676,1.1814835924514762,1.9278344035754065,0.2934599999999961,0.7065399999999881,0,0,0,42.62529999999992,19.07150000000002,0,2.4741000000000057,1.2370500000000033,1085.2450000000003
