num_entities,unstructured_bytes,"cedar mean_dur_micros","cedar median_dur_micros","cedar p90_dur_micros","cedar p99_dur_micros","cedar % allows","cedar % denies","cedar mean_num_errors","cedar mean_context_attrs","cedaropt mean_dur_micros","cedaropt median_dur_micros","cedaropt p90_dur_micros","cedaropt p99_dur_micros","cedaropt % allows","cedaropt % denies","cedaropt mean_num_errors","cedaropt mean_context_attrs","rego mean_dur_micros","rego median_dur_micros","rego p90_dur_micros","rego p99_dur_micros","rego % allows","rego % denies","rego mean_num_errors","rego mean_context_attrs","openfga mean_dur_micros","openfga median_dur_micros","openfga p90_dur_micros","openfga p99_dur_micros","openfga % allows","openfga % denies","openfga mean_num_errors","openfga mean_context_attrs","sapl mean_dur_micros","sapl median_dur_micros","sapl p90_dur_micros","sapl p99_dur_micros","sapl % allows","sapl % denies","sapl mean_num_errors","sapl mean_context_attrs",mean_parents_of_Action,mean_parents_of_OrgPermission,mean_parents_of_Organization,mean_parents_of_RepoPermission,mean_parents_of_Repository,mean_parents_of_Team,mean_parents_of_User,openfga mean_tuples
5,8192,10.817979930000005,10.728299656447955,12.968463125930878,17.82750421785202,0.0829999999999999,0.9169999999999956,0,0,15.248742359999966,14.953552320318705,17.359646219985503,24.971356915251295,0.0829999999999999,0.9169999999999956,0,0,103.46402121000062,91.14925249812683,120.71061090610658,344.6157572554057,0.0829999999999999,0.9169999999999956,0,0,148.36411999999817,146.54548969658453,227.00774690957763,450.0957927042033,0.0829999999999999,0.9169999999999956,0,0,0.5050117600000058,0.4537955840878507,0.8398491814824448,1.658317010647286,0.0829999999999999,0.9169999999999956,0,0,2.0000000000000013,0,0.23700000000000013,0,0,0.4339999999999996,1.2679999999999993,13.660000000000002
10,8192,10.89206658999993,10.790035684370649,13.077745636650867,18.279007694784593,0.08949000000000018,0.9105099999999945,0,0,15.85855526,15.52927034522543,22.375502708087136,24.99054724247872,0.08949000000000018,0.9105099999999945,0,0,163.21207018000058,146.8750430168783,187.4401812099012,481.5430480940593,0.08949000000000018,0.9105099999999945,0,0,155.8521999999987,150.42653868353304,236.29022993461888,469.29047327472495,0.08949000000000018,0.9105099999999945,0,0,0.5407130399999902,0.4901709752620704,1.128685094472416,1.5158820886831395,0.08949000000000018,0.9105099999999945,0,0,2.0000000000000027,0,0.4915000000000005,0,0,0.8439999999999998,2.6760000000000006,41.95999999999998
15,8192,11.045861590000113,10.947571518659425,13.000054099294188,18.48821413947259,0.10551999999999888,0.8944799999999984,0,0,16.789085679999815,16.45236426355702,19.985682284338278,27.22381807987968,0.10551999999999888,0.8944799999999984,0,0,231.51480796000146,209.96861544612284,260.4365219390544,636.4766560601363,0.10551999999999888,0.8944799999999984,0,0,164.7225700000009,155.45485287302438,247.816733466016,501.3883747252633,0.10551999999999888,0.8944799999999984,0,0,0.6492406300000128,0.5840073085788982,1.350699954497951,1.8528788529343159,0.10551999999999888,0.8944799999999984,0,0,1.9999999999999984,0,0.739333333333333,0,0,1.4570000000000003,4.63099999999999,87.88
20,8192,11.122235720000045,11.027325915104765,13.288215043844883,19.073790354706052,0.12772000000000075,0.8722799999999958,0,0,17.902708550000078,17.47521081653543,26.84703348839208,29.154445179230677,0.12772000000000075,0.8722799999999958,0,0,312.4727613099999,287.56384873372394,352.64430369248873,784.8932380797061,0.12772000000000075,0.8722799999999958,0,0,178.52034000000097,165.5517518428836,268.41260752168574,542.7739930323555,0.12772000000000075,0.8722799999999958,0,0,0.6601683199999994,0.597792259162887,1.2970431028166551,1.778323122941704,0.12772000000000075,0.8722799999999958,0,0,2.0000000000000004,0,0.9992500000000023,0,0,2.266499999999993,7.064250000000007,148.7500000000002
30,8192,11.161569090000059,11.041900015391352,13.598167257029116,19.452448905496105,0.17520000000000197,0.8247999999999964,0,0,20.790676619999847,20.139709966335833,26.563213226717046,34.68818124915343,0.17520000000000197,0.8247999999999964,0,0,481.7305840299963,445.83569666877366,533.8670386405587,1227.6843611416766,0.17520000000000197,0.8247999999999964,0,0,225.2618000000004,207.6290188092166,357.84159855651177,647.0135951482476,0.17520000000000197,0.8247999999999964,0,0,0.6857989000000131,0.62096080623518,1.314998635407618,1.8953976907896857,0.17520000000000197,0.8247999999999964,0,0,2.0000000000000036,0,1.4835000000000027,0,0,4.302833333333312,14.196166666666661,321.75499999999994
40,8192,11.277216500000085,11.108563359165347,15.135127139916921,18.70279154223456,0.2266400000000025,0.7733599999999954,0,0,25.011717229999878,23.93220869179172,33.54086901722455,43.963873167336175,0.2266400000000025,0.7733599999999954,0,0,708.8469223700051,663.3069704932647,801.4814904321568,1680.7882221650461,0.2266400000000025,0.7733599999999954,0,0,321.0994700000002,287.1354067738509,556.8491986750909,928.9603262661577,0.2266400000000025,0.7733599999999954,0,0,0.7273837000000007,0.6596358259002645,1.4100382952183497,2.0881801804326865,0.2266400000000025,0.7733599999999954,0,0,1.9999999999999976,0,1.9912500000000033,0,0,7.281374999999998,24.687875000000037,558.18
50,8192,11.443081370000005,11.251038497659616,15.04397109969638,20.46332892835277,0.29201999999999306,0.7079799999999933,0,0,31.04049208,29.500296814266854,44.575859485378665,63.705101655448054,0.29201999999999306,0.7079799999999933,0,0,952.5352445299932,896.942657073629,1090.7827221585742,2143.979221163522,0.29201999999999306,0.7079799999999933,0,0,482.545850000006,417.38217974264484,886.4999257100911,1441.7202947483468,0.29201999999999306,0.7079799999999933,0,0,0.7413567300000078,0.6615384667384367,1.5905254944960634,2.2364143163693484,0.29201999999999306,0.7079799999999933,0,0,1.9999999999999998,0,2.4804999999999975,0,0,11.928500000000025,40.48109999999989,861.8199999999995
