# SAPL 4.0 Server HTTP Benchmark
# Scenario: baseline
# Cores: 8
# Connections: 64
# Measurement: 10s
# Convergence Threshold: 10
# Convergence Window: 2
# Mean: 576295.89 throughput/req/s
# StdDev: 6894.04
# CoV: 1.20%
# Forks: 2
# Latency p50 (ns): 0
# Latency p90 (ns): 9540000000
# Latency p99 (ns): 9570000000
fork,throughput_req_s
1,571421.06
2,581170.71
