scenario,method,threads,indexing,mean_ops_s,ci_lower_ops_s,ci_upper_ops_s,cov_pct,forks,p50_ns,p90_ns,p99_ns,lat_ci_lower_ns,lat_ci_upper_ns,permit,deny
baseline,?,1P/32c,?,101744.57,98945.13,104544.02,0.31,2,0,9910000000,9940000000,0.0,0.0,,
baseline,?,1P/64c,?,100536.04,85770.20,115301.87,1.63,2,0,9900000000,9930000000,0.0,0.0,,
baseline,?,4P/32c,?,330302.06,327498.42,333105.71,0.09,2,0,9750000000,9760000000,0.0,0.0,,
baseline,?,4P/64c,?,333065.85,282922.38,383209.32,1.68,2,0,9760000000,9780000000,0.0,0.0,,
baseline,?,8P/32c,?,531530.37,526484.94,536575.80,0.11,2,0,9520000000,9520000000,0.0,0.0,,
baseline,?,8P/64c,?,576295.89,514356.36,638235.41,1.20,2,0,9540000000,9570000000,0.0,0.0,,
hospital-1,?,1P/32c,?,94531.17,85679.28,103383.06,1.04,2,0,9920000000,9950000000,0.0,0.0,,
hospital-1,?,1P/64c,?,95895.21,93954.81,97835.60,0.23,2,0,9900000000,9930000000,0.0,0.0,,
hospital-1,?,4P/32c,?,315132.14,308466.95,321797.33,0.24,2,0,9760000000,9760000000,0.0,0.0,,
hospital-1,?,4P/64c,?,319714.95,311002.63,328427.26,0.30,2,0,9760000000,9800000000,0.0,0.0,,
hospital-1,?,8P/32c,?,495477.79,437204.01,553751.57,1.31,2,0,9550000000,9560000000,0.0,0.0,,
hospital-1,?,8P/64c,?,541889.54,478489.58,605289.49,1.30,2,0,9570000000,9580000000,0.0,0.0,,
hospital-100,?,1P/32c,?,92282.74,88690.82,95874.67,0.43,2,0,9930000000,9950000000,0.0,0.0,,
hospital-100,?,1P/64c,?,92904.40,88570.26,97238.54,0.52,2,0,9900000000,9930000000,0.0,0.0,,
hospital-100,?,4P/32c,?,311101.91,291289.12,330914.69,0.71,2,0,9750000000,9760000000,0.0,0.0,,
hospital-100,?,4P/64c,?,316791.79,298518.98,335064.61,0.64,2,0,9770000000,9800000000,0.0,0.0,,
hospital-100,?,8P/32c,?,499727.97,486238.59,513217.36,0.30,2,0,9540000000,9550000000,0.0,0.0,,
hospital-100,?,8P/64c,?,542707.72,504106.96,581308.49,0.79,2,0,9570000000,9590000000,0.0,0.0,,
hospital-300,?,1P/32c,?,86839.01,82418.66,91259.37,0.57,2,0,9920000000,9950000000,0.0,0.0,,
hospital-300,?,1P/64c,?,85999.99,78273.29,93726.70,1.00,2,0,9910000000,9940000000,0.0,0.0,,
hospital-300,?,4P/32c,?,301322.92,294189.33,308456.52,0.26,2,0,9760000000,9770000000,0.0,0.0,,
hospital-300,?,4P/64c,?,307556.95,275742.78,339371.12,1.15,2,0,9760000000,9770000000,0.0,0.0,,
hospital-300,?,8P/32c,?,493101.51,491858.79,494344.22,0.03,2,0,9550000000,9560000000,0.0,0.0,,
hospital-300,?,8P/64c,?,533459.41,471032.67,595886.15,1.30,2,0,9580000000,9620000000,0.0,0.0,,
rbac,?,1P/32c,?,96755.22,92495.79,101014.65,0.49,2,0,9910000000,9940000000,0.0,0.0,,
rbac,?,1P/64c,?,97364.14,93958.62,100769.67,0.39,2,0,9900000000,9930000000,0.0,0.0,,
rbac,?,4P/32c,?,318620.49,308164.41,329076.58,0.37,2,0,9750000000,9760000000,0.0,0.0,,
rbac,?,4P/64c,?,321299.41,305081.47,337517.35,0.56,2,0,9760000000,9760000000,0.0,0.0,,
rbac,?,8P/32c,?,514502.93,507671.29,521334.57,0.15,2,0,9530000000,9540000000,0.0,0.0,,
rbac,?,8P/64c,?,557840.23,525021.01,590659.45,0.65,2,0,9550000000,9570000000,0.0,0.0,,
