# SAPL 4.0 Benchmark Results
# Command: --scenario=hospital-5 --method=decideOnceBlocking --indexing=AUTO -t 8 --warmup-iterations=1 --warmup-time=3 --measurement-time=10 --convergence-threshold=10 --convergence-window=2 --max-forks=2 --latency=true --heap=32g -o /home/dominic/git/sapl-policy-engine/sapl-benchmark/scripts/../results/embedded-jvm-quick-20260630-035012
# JVM: 25.0.4 (OpenJDK 64-Bit Server VM)
# GC: default
# Scenario: hospital-5
# Seed: 42
# Method: decideOnceBlocking
# Threads: 8
# Warmup: 1 x 3s
# Measurement: 10s
# Convergence: CoV < 10.0% over 2 forks
# Virtual threads: false
# Latency p50 (ns): 335
# Latency p90 (ns): 484
# Latency p99 (ns): 737
# Latency p99.9 (ns): 7056
# Latency max (ns): 1378304
# Decisions PERMIT: 76
# Decisions DENY: 424
# Decisions INDETERMINATE: 0
# Decisions NOT_APPLICABLE: 0
fork,throughput_ops_s
1,21799652.32
2,22806174.58
