# SAPL 4.0 Benchmark Results
# Command: --scenario=hospital-300 --method=decideOnceBlocking --indexing=AUTO -t 1 --warmup-iterations=1 --warmup-time=3 --measurement-time=10 --convergence-threshold=10 --convergence-window=2 --max-forks=2 --latency=true --heap=32g -o /home/dominic/git/sapl-policy-engine/sapl-benchmark/scripts/../results/embedded-jvm-quick-20260630-035012
# JVM: 25.0.4 (OpenJDK 64-Bit Server VM)
# GC: default
# Scenario: hospital-300
# Seed: 42
# Method: decideOnceBlocking
# Threads: 1
# Warmup: 1 x 3s
# Measurement: 10s
# Convergence: CoV < 10.0% over 2 forks
# Virtual threads: false
# Latency p50 (ns): 334
# Latency p90 (ns): 664
# Latency p99 (ns): 1344
# Latency p99.9 (ns): 5138
# Latency max (ns): 407040
# Decisions PERMIT: 83
# Decisions DENY: 417
# Decisions INDETERMINATE: 0
# Decisions NOT_APPLICABLE: 0
fork,throughput_ops_s
1,2574340.69
2,2595938.31
