# SAPL 4.0 Benchmark Results
# Command: --scenario=hospital-100 --method=decideOnceBlocking --indexing=AUTO -t 2 --warmup-iterations=1 --warmup-time=3 --measurement-time=10 --convergence-threshold=10 --convergence-window=2 --max-forks=2 --latency=true --heap=32g -o /home/dominic/git/sapl-policy-engine/sapl-benchmark/scripts/../results/embedded-jvm-quick-20260630-035012
# JVM: 25.0.4 (OpenJDK 64-Bit Server VM)
# GC: default
# Scenario: hospital-100
# Seed: 42
# Method: decideOnceBlocking
# Threads: 2
# Warmup: 1 x 3s
# Measurement: 10s
# Convergence: CoV < 10.0% over 2 forks
# Virtual threads: false
# Latency p50 (ns): 314
# Latency p90 (ns): 501
# Latency p99 (ns): 740
# Latency p99.9 (ns): 4168
# Latency max (ns): 1060864
# Decisions PERMIT: 83
# Decisions DENY: 417
# Decisions INDETERMINATE: 0
# Decisions NOT_APPLICABLE: 0
fork,throughput_ops_s
1,5697136.37
2,5756260.75
