# SAPL 4.0 Server HTTP Benchmark
# Scenario: baseline
# Cores: 8
# Connections: 128
# Measurement: 10s
# Convergence Threshold: 10
# Convergence Window: 2
# Mean: 261663.02 throughput/req/s
# StdDev: 2512.89
# CoV: 0.96%
# Forks: 2
# Latency p50 (ns): 0
# Latency p90 (ns): 9780000000
# Latency p99 (ns): 9830000000
fork,throughput_req_s
1,259886.13
2,263439.90
