# SAPL 4.0 Server HTTP Benchmark
# Scenario: hospital-1
# Cores: 1
# Connections: 256
# Measurement: 10s
# Convergence Threshold: 10
# Convergence Window: 2
# Mean: 40829.05 throughput/req/s
# StdDev: 191.56
# CoV: 0.47%
# Forks: 2
# Latency p50 (ns): 0
# Latency p90 (ns): 9950000000
# Latency p99 (ns): 9980000000
fork,throughput_req_s
1,40693.60
2,40964.50
