num_entities,unstructured_bytes,"cedar mean_dur_micros","cedar median_dur_micros","cedar p90_dur_micros","cedar p99_dur_micros","cedar % allows","cedar % denies","cedar mean_num_errors","cedar mean_context_attrs","cedaropt mean_dur_micros","cedaropt median_dur_micros","cedaropt p90_dur_micros","cedaropt p99_dur_micros","cedaropt % allows","cedaropt % denies","cedaropt mean_num_errors","cedaropt mean_context_attrs","rego mean_dur_micros","rego median_dur_micros","rego p90_dur_micros","rego p99_dur_micros","rego % allows","rego % denies","rego mean_num_errors","rego mean_context_attrs","openfga mean_dur_micros","openfga median_dur_micros","openfga p90_dur_micros","openfga p99_dur_micros","openfga % allows","openfga % denies","openfga mean_num_errors","openfga mean_context_attrs","sapl mean_dur_micros","sapl median_dur_micros","sapl p90_dur_micros","sapl p99_dur_micros","sapl % allows","sapl % denies","sapl mean_num_errors","sapl mean_context_attrs",mean_parents_of_Action,mean_parents_of_OrgPermission,mean_parents_of_Organization,mean_parents_of_RepoPermission,mean_parents_of_Repository,mean_parents_of_Team,mean_parents_of_User,openfga mean_tuples
5,8192,6.811250249999891,6.649489731941212,8.007986755154722,12.323941410309406,0.06579000000000111,0.934210000000001,0,0,9.902218209999985,9.639677496542157,10.989301844487402,17.399126772635704,0.06579000000000111,0.934210000000001,0,0,102.03984249000008,89.83454180923187,119.50401076992914,333.4776383410819,0.06579000000000111,0.934210000000001,0,0,146.41824999999832,145.09742388631307,225.98964848904336,442.26826340514253,0.06579000000000111,0.934210000000001,0,0,0.5056623800000133,0.4618104693731577,1.0248577999756454,1.3894166388895284,0.06579000000000111,0.934210000000001,0,0,1.9999999999999998,0,0.21599999999999975,0,0,0.3660000000000001,1.1070000000000015,12.675
10,8192,6.859199209999945,6.730023016982851,8.302087808163636,12.577874758857726,0.08989000000000015,0.9101099999999972,0,0,10.295546509999882,10.04968086694701,13.081418593000675,18.017434155970605,0.08989000000000015,0.9101099999999972,0,0,161.27768769999872,145.56876934286794,182.07600370790684,467.65640622518856,0.08989000000000015,0.9101099999999972,0,0,154.47646000000026,149.23958173001975,233.0596144167074,468.04163174875606,0.08989000000000015,0.9101099999999972,0,0,0.5620183799999995,0.507222701564459,1.3178979405727482,2.162276258045047,0.08989000000000015,0.9101099999999972,0,0,2.0000000000000013,0,0.5024999999999998,0,0,0.8775000000000002,2.6785,42.19999999999999
15,8192,6.906698129999991,6.807475727954405,8.472730394892606,15.225077885614288,0.10879000000000029,0.8912100000000016,0,0,10.898662289999844,10.644310721239075,16.260469515164743,18.905145149285964,0.10879000000000029,0.8912100000000016,0,0,230.81633632000094,209.49627282344213,259.5900083373652,630.3799446532099,0.10879000000000029,0.8912100000000016,0,0,164.21047000000345,155.78835265279272,246.57998934487526,489.111646868818,0.10879000000000029,0.8912100000000016,0,0,0.6203261600000082,0.562677764285168,1.2874465232555559,1.6455300039779213,0.10879000000000029,0.8912100000000016,0,0,2.000000000000001,0,0.7569999999999991,0,0,1.5193333333333305,4.598666666666682,88.14000000000001
20,8192,6.998934829999952,6.819856881025615,8.778507213920175,12.736794850438352,0.12816000000000047,0.8718400000000018,0,0,11.58896294000014,11.218415223432155,14.957845309296086,20.417363918781675,0.12816000000000047,0.8718400000000018,0,0,314.97606000000405,289.9149038530359,358.23232602426583,795.647462511986,0.12816000000000047,0.8718400000000018,0,0,178.8142699999998,166.33805374977416,269.61218127721725,550.1907799458054,0.12816000000000047,0.8718400000000018,0,0,0.6361490399999971,0.581473173877513,1.2664542700773467,1.6483957517446777,0.12816000000000047,0.8718400000000018,0,0,2.000000000000002,0,0.9952499999999994,0,0,2.260250000000001,7.174249999999991,149.71499999999997
30,8192,7.008079229999898,6.836417905999477,8.168897933786047,12.076467275780027,0.17371999999999949,0.8262799999999965,0,0,13.353445709999997,12.73333975870248,17.198451666995435,23.073354482617656,0.17371999999999949,0.8262799999999965,0,0,487.9474806799972,450.19825120534273,541.5420137013452,1239.175184288053,0.17371999999999949,0.8262799999999965,0,0,228.7461499999985,210.16041982544854,363.13233944797054,657.5498300657943,0.17371999999999949,0.8262799999999965,0,0,0.6945541999999959,0.6292359445027284,1.4241638755226937,1.8141596436359855,0.17371999999999949,0.8262799999999965,0,0,2.0000000000000027,0,1.4819999999999982,0,0,4.306666666666678,14.11133333333333,322.01500000000004
40,8192,7.012375929999958,6.876186896921466,8.036092856698966,12.533919020958175,0.23245999999999997,0.7675399999999984,0,0,15.977092919999894,15.2403781576281,24.843064207607778,28.627156358473727,0.23245999999999997,0.7675399999999984,0,0,715.128743640005,668.5938208163795,814.3336248047009,1702.6615541491417,0.23245999999999997,0.7675399999999984,0,0,326.6196199999997,291.7286756940854,565.5869810485624,934.8956804477161,0.23245999999999997,0.7675399999999984,0,0,0.7422790399999925,0.6688545191227957,1.4893661613902889,4.297763426828739,0.23245999999999997,0.7675399999999984,0,0,2,0,2.0137500000000155,0,0,7.3528750000000045,24.96125000000002,561.4250000000001
50,8192,7.084657019999995,6.90493649668873,8.353808830813389,13.277417063893646,0.29707000000000006,0.7029300000000052,0,0,19.75064181000005,18.706993287045638,28.4036788848259,39.59234867768448,0.29707000000000006,0.7029300000000052,0,0,948.3475216000023,893.2117299894269,1077.521504686416,2160.198068252162,0.29707000000000006,0.7029300000000052,0,0,483.07703999999853,417.0447127624845,889.7211915300229,1524.8715817731377,0.29707000000000006,0.7029300000000052,0,0,0.7124240800000019,0.64810538244237,1.6071064263763168,2.1228505765194816,0.29707000000000006,0.7029300000000052,0,0,2.000000000000001,0,2.496199999999984,0,0,12.025700000000006,40.62900000000007,860.1399999999999
