# SAPL 4.0 Server HTTP Benchmark
# Scenario: hospital-100
# Cores: 1
# Connections: 32
# Measurement: 10s
# Convergence Threshold: 10
# Convergence Window: 2
# Mean: 94386.00 throughput/req/s
# StdDev: 55.00
# CoV: 0.06%
# Forks: 2
# Latency p50 (ns): 0
# Latency p90 (ns): 9910000000
# Latency p99 (ns): 9950000000
fork,throughput_req_s
1,94347.11
2,94424.89
