# SAPL 4.0 Benchmark Results
# Command: --scenario=hospital-50 --method=decideOnceBlocking --indexing=NAIVE -t 1 --warmup-iterations=1 --warmup-time=3 --measurement-time=10 --convergence-threshold=10 --convergence-window=2 --max-forks=2 --latency=true --heap=32g -o /home/dominic/git/sapl-policy-engine/sapl-benchmark/scripts/../results/index-comparison-jvm-quick-20260630-043713
# JVM: 25.0.4 (OpenJDK 64-Bit Server VM)
# GC: default
# Scenario: hospital-50
# Seed: 42
# Method: decideOnceBlocking
# Threads: 1
# Warmup: 1 x 3s
# Measurement: 10s
# Convergence: CoV < 10.0% over 2 forks
# Virtual threads: false
# Latency p50 (ns): 83712
# Latency p90 (ns): 95232
# Latency p99 (ns): 124928
# Latency p99.9 (ns): 158208
# Latency max (ns): 2281472
# Decisions PERMIT: 82
# Decisions DENY: 418
# Decisions INDETERMINATE: 0
# Decisions NOT_APPLICABLE: 0
fork,throughput_ops_s
1,11865.87
2,11407.48
