# SAPL 4.0 Server HTTP Benchmark
# Scenario: rbac
# Cores: 1
# Connections: 32
# Measurement: 10s
# Convergence Threshold: 10
# Convergence Window: 2
# Mean: 42288.74 throughput/req/s
# StdDev: 137.06
# CoV: 0.32%
# Forks: 2
# Latency p50 (ns): 0
# Latency p90 (ns): 9970000000
# Latency p99 (ns): 9970000000
fork,throughput_req_s
1,42385.65
2,42191.82
