scenario,method,threads,indexing,mean_ops_s,ci_lower_ops_s,ci_upper_ops_s,cov_pct,forks,p50_ns,p90_ns,p99_ns,lat_ci_lower_ns,lat_ci_upper_ns,permit,deny
baseline,?,1P/32c,?,45034.99,41462.89,48607.10,0.88,2,0,9970000000,9970000000,0.0,0.0,,
baseline,?,1P/64c,?,44624.59,44382.16,44867.02,0.06,2,0,9960000000,9970000000,0.0,0.0,,
baseline,?,4P/32c,?,173134.98,168262.68,178007.29,0.31,2,0,9870000000,9880000000,0.0,0.0,,
baseline,?,4P/64c,?,171130.40,152611.53,189649.27,1.20,2,0,9860000000,9880000000,0.0,0.0,,
baseline,?,8P/32c,?,303520.60,278248.87,328792.33,0.93,2,0,9730000000,9750000000,0.0,0.0,,
baseline,?,8P/64c,?,272433.30,269944.25,274922.34,0.10,2,0,9780000000,9810000000,0.0,0.0,,
hospital-1,?,1P/32c,?,41484.59,36914.88,46054.30,1.23,2,0,9970000000,9970000000,0.0,0.0,,
hospital-1,?,1P/64c,?,41345.15,40752.22,41938.07,0.16,2,0,9970000000,9970000000,0.0,0.0,,
hospital-1,?,4P/32c,?,158915.61,155589.50,162241.73,0.23,2,0,9880000000,9900000000,0.0,0.0,,
hospital-1,?,4P/64c,?,159339.35,158016.40,160662.30,0.09,2,0,9870000000,9880000000,0.0,0.0,,
hospital-1,?,8P/32c,?,273835.39,247523.68,300147.10,1.07,2,0,9760000000,9770000000,0.0,0.0,,
hospital-1,?,8P/64c,?,256203.25,228032.52,284373.98,1.22,2,0,9800000000,9820000000,0.0,0.0,,
hospital-100,?,1P/32c,?,41155.94,37879.82,44432.06,0.89,2,0,9970000000,9970000000,0.0,0.0,,
hospital-100,?,1P/64c,?,40103.61,39280.52,40926.70,0.23,2,0,9960000000,9970000000,0.0,0.0,,
hospital-100,?,4P/32c,?,157306.93,154880.03,159733.84,0.17,2,0,9880000000,9920000000,0.0,0.0,,
hospital-100,?,4P/64c,?,157048.35,151123.92,162972.78,0.42,2,0,9880000000,9900000000,0.0,0.0,,
hospital-100,?,8P/32c,?,271733.55,213591.60,329875.51,2.38,2,0,9760000000,9760000000,0.0,0.0,,
hospital-100,?,8P/64c,?,257226.70,241282.89,273170.50,0.69,2,0,9790000000,9810000000,0.0,0.0,,
hospital-300,?,1P/32c,?,38190.74,36669.76,39711.71,0.44,2,0,9970000000,9970000000,0.0,0.0,,
hospital-300,?,1P/64c,?,38304.39,35470.70,41138.08,0.82,2,0,9970000000,9970000000,0.0,0.0,,
hospital-300,?,4P/32c,?,153381.11,133598.12,173164.10,1.44,2,0,9880000000,9880000000,0.0,0.0,,
hospital-300,?,4P/64c,?,155299.44,153767.60,156831.28,0.11,2,0,9900000000,9900000000,0.0,0.0,,
hospital-300,?,8P/32c,?,235829.58,222716.55,248942.62,0.62,2,0,9800000000,9810000000,0.0,0.0,,
hospital-300,?,8P/64c,?,212132.38,208132.21,216132.54,0.21,2,0,9830000000,9840000000,0.0,0.0,,
rbac,?,1P/32c,?,42288.74,41057.33,43520.14,0.32,2,0,9970000000,9970000000,0.0,0.0,,
rbac,?,1P/64c,?,42024.33,39838.64,44210.02,0.58,2,0,9960000000,9980000000,0.0,0.0,,
rbac,?,4P/32c,?,161513.37,153512.53,169514.21,0.55,2,0,9870000000,9890000000,0.0,0.0,,
rbac,?,4P/64c,?,159572.85,152092.01,167053.70,0.52,2,0,9870000000,9870000000,0.0,0.0,,
rbac,?,8P/32c,?,283690.42,239927.91,327452.93,1.72,2,0,9760000000,9760000000,0.0,0.0,,
rbac,?,8P/64c,?,262966.61,225117.34,300815.88,1.60,2,0,9780000000,9810000000,0.0,0.0,,
