# SAPL 4.0 Server RSocket Benchmark
# Scenario: baseline
# Cores: 8
# Connections: 32
# Vt Per Connection: 256
# Measurement: 10s
# Convergence Threshold: 10
# Convergence Window: 2
# Mean: 2612398.24 throughput/req/s
# StdDev: 46451.89
# CoV: 1.78%
# Forks: 2
# Latency p50 (ns): 3368096
# Latency p90 (ns): 4471837
# Latency p99 (ns): 6510094
# Latency p99.9 (ns): 14734028
# Latency max (ns): 24350946
fork,throughput_req_s
1,2579551.79
2,2645244.68
