# SAPL 4.0 Server RSocket Benchmark
# Scenario: hospital-1
# Cores: 8
# Connections: 64
# Vt Per Connection: 256
# Measurement: 10s
# Convergence Threshold: 10
# Convergence Window: 2
# Mean: 2280192.16 throughput/req/s
# StdDev: 32761.78
# CoV: 1.44%
# Forks: 2
# Latency p50 (ns): 6433457
# Latency p90 (ns): 12816252
# Latency p99 (ns): 15979483
# Latency p99.9 (ns): 25646217
# Latency max (ns): 69084862
fork,throughput_req_s
1,2257026.08
2,2303358.24
